Image name,Image url link,Image url link,Image,Page_type_1,Page_type_2,colour,Pagenumber,illustration_type_1,instances_of_1,illustration_type_2,instances_of_2,illustration_type_3,instances_of_3,illustration_type_4,instances_of_4,illustration_type_5,instances_of_5,translation
uni-ucl-jud-0015042-001-0024R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0024R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0024R.jpg,,Chapter page,,monochrome,Bv,Illuminated lettering,1,Rubricated text,1,,,,,,,
uni-ucl-jud-0015042-001-0025L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0025L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0025L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0026R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0026R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0026R.jpg,,Chapter page,,monochrome,Bvi,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0027L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0027L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0027L.jpg,,None,,monochrome,,Rubricated text,1,,,,,,,,,
uni-ucl-jud-0015042-001-0028R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0028R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0028R.jpg,,Chapter page,,monochrome,L,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0029L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0029L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0029L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Rubricated text,1,,,,,,,
uni-ucl-jud-0015042-001-0030R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0030R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0030R.jpg,,None,,monochrome,Lii,Rubricated text,1,,,,,,,,,
uni-ucl-jud-0015042-001-0031L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0031L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0031L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0032R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0032R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0032R.jpg,,Chapter page,,monochrome,Liii,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0033L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0033L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0033L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Rubricated text,1,,,,,,,
