Image name,Page_type_1,Page_type_2,colour,Pagenumber,illustration_type_1,instances_of_1,illustration_type_2,instances_of_2,illustration_type_3,instances_of_3,illustration_type_4,instances_of_4,illustration_type_5,instances_of_5
uni-ucl-jud-0015053-002-0067R.jpg,None,,monochrome,67|E2,,,,,,,,,,
uni-ucl-jud-0015053-002-0068L.jpg,None,,monochrome,68,,,,,,,,,,
uni-ucl-jud-0015053-002-0069R.jpg,Chapter page,,monochrome,69|E3,,,,,,,,,,
uni-ucl-jud-0015053-002-0070L.jpg,None,,monochrome,70,,,,,,,,,,
uni-ucl-jud-0015053-002-0071R.jpg,None,,monochrome,71|E4,,,,,,,,,,
uni-ucl-jud-0015053-002-0072L.jpg,None,,monochrome,72,,,,,,,,,,
uni-ucl-jud-0015053-002-0073R.jpg,None,,monochrome,73|E5,,,,,,,,,,
uni-ucl-jud-0015053-002-0074L.jpg,Chapter page,,monochrome,74,,,,,,,,,,
uni-ucl-jud-0015053-002-0075R.jpg,None,,monochrome,75,,,,,,,,,,
uni-ucl-jud-0015053-002-0076L.jpg,None,,monochrome,76,,,,,,,,,,
uni-ucl-jud-0015053-002-0077R.jpg,Chapter page,,monochrome,77,Illuminated lettering,1,,,,,,,,
uni-ucl-jud-0015053-002-0078L.jpg,None,,monochrome,78,,,,,,,,,,
uni-ucl-jud-0015053-002-0079R.jpg,None,,monochrome,79,,,,,,,,,,
uni-ucl-jud-0015053-002-0080L.jpg,None,,monochrome,80,,,,,,,,,,
uni-ucl-jud-0015053-002-0081R.jpg,None,,monochrome,81|F,,,,,,,,,,
uni-ucl-jud-0015053-002-0082L.jpg,None,,monochrome,82,,,,,,,,,,
uni-ucl-jud-0015053-002-0083R.jpg,None,,monochrome,83|F2,,,,,,,,,,
uni-ucl-jud-0015053-002-0084L.jpg,None,,monochrome,84,,,,,,,,,,
uni-ucl-jud-0015053-002-0085R.jpg,None,,monochrome,85|F3,,,,,,,,,,
uni-ucl-jud-0015053-002-0086L.jpg,None,,monochrome,86,,,,,,,,,,
uni-ucl-jud-0015053-002-0087R.jpg,None,,monochrome,87|F4,,,,,,,,,,
uni-ucl-jud-0015053-002-0088L.jpg,None,,monochrome,88,,,,,,,,,,
uni-ucl-jud-0015053-002-0089R.jpg,None,,monochrome,89|E5,,,,,,,,,,
uni-ucl-jud-0015053-002-0090L.jpg,Chapter page,,monochrome,90,,,,,,,,,,
uni-ucl-jud-0015053-002-0091R.jpg,None,,monochrome,95,,,,,,,,,,
uni-ucl-jud-0015053-002-0092L.jpg,None,,monochrome,96,,,,,,,,,,
uni-ucl-jud-0015053-002-0093R.jpg,None,,monochrome,97|G,,,,,,,,,,
uni-ucl-jud-0015053-002-0094L.jpg,None,,monochrome,98,,,,,,,,,,
uni-ucl-jud-0015053-002-0095R.jpg,None,,monochrome,99|G2,,,,,,,,,,
uni-ucl-jud-0015053-002-0096L.jpg,None,,monochrome,100,,,,,,,,,,
uni-ucl-jud-0015053-002-0097R.jpg,None,,monochrome,101|G3,,,,,,,,,,
uni-ucl-jud-0015053-002-0098L.jpg,None,,monochrome,102,,,,,,,,,,
uni-ucl-jud-0015053-002-0099R.jpg,None,,monochrome,103|G4,,,,,,,,,,
uni-ucl-jud-0015053-002-0100L.jpg,Chapter page,,monochrome,104,,,,,,,,,,
uni-ucl-jud-0015053-002-0101R.jpg,None,,monochrome,105|G5,,,,,,,,,,
